Average Transaction Amount,Is Registered,Accepts Card,Total Annual Transaction Fees,MCC_Category_Agricultural Services,MCC_Category_Business Services,MCC_Category_Clothing Stores,MCC_Category_Contracted Services,MCC_Category_Miscellaneous Stores,MCC_Category_Professional Services and Membership Organizations,MCC_Category_Retail Outlet Services,MCC_Category_Transportation Services,MCC_Category_Travel,MCC_Category_Utility Services,Transaction_per_Unit_Turnover,Current Provider
10,1,1,593.1840000000001,False,False,False,False,True,False,False,False,False,False,0.0001,0
1000,1,1,175.00000000000003,False,False,False,False,False,False,True,False,False,False,0.1,0
307,1,1,290.30836612377846,False,False,False,False,True,False,False,False,False,False,0.005116666666666667,0
30,1,1,2625.749333333333,False,False,False,False,False,True,False,False,False,False,3.75e-05,0
7,1,1,1785.0857142857142,False,False,False,False,True,False,False,False,False,False,1.75e-05,0
15,0,1,1500.0,False,False,False,False,True,False,False,False,False,False,0.00015,0
80,1,0,200.0,False,False,False,False,True,False,False,False,False,False,0.004,1
5000,1,0,967.6058055999998,False,False,False,True,False,False,False,False,False,False,0.025,1
10,1,0,87.50000000000001,False,False,False,False,False,True,False,False,False,False,0.002,1
2478,1,1,6120.049394673123,False,False,False,False,True,False,False,False,False,False,0.001239,0
40,1,1,3937.968,False,False,False,False,False,False,True,False,False,False,3.3333333333333335e-05,0
200,1,0,1371.8057400000002,False,False,True,False,False,False,False,False,False,False,0.0006666666666666666,1
120,0,1,200.0,False,False,False,False,True,False,False,False,False,False,0.006,0
625,0,1,799.2255744000001,False,True,False,False,False,False,False,False,False,False,0.004629629629629629,0
40,1,0,167.2836,False,False,False,False,True,False,False,False,False,False,0.002,1
50,0,1,446.0456,False,False,False,False,True,False,False,False,False,False,0.000625,0
34,1,0,1045.6147058823528,False,False,False,False,True,False,False,False,False,False,0.000272,1
11,1,1,1696.6792727272727,False,False,False,False,False,False,True,False,False,False,3.0136986301369862e-05,0
2500,1,0,319.5025560000001,False,False,False,False,False,False,True,False,False,False,0.05,1
2000,0,1,7.499999999999999,False,False,False,False,True,False,False,False,False,False,4.0,0
10,0,0,350.00000000000006,False,False,False,False,True,False,False,False,False,False,0.0005,1
8000,1,0,11125.0278125,False,False,False,False,True,False,False,False,False,False,0.0032,1
4000,1,0,2225.011125,False,False,False,False,False,True,False,False,False,False,0.008,1
1000,0,0,150.0,False,False,False,True,False,False,False,False,False,False,0.1,1
5000,1,0,500.0,False,False,False,False,False,False,True,False,False,False,0.1,1
30,1,0,1144.143,False,False,False,False,False,False,True,False,False,False,0.00012,1
30,0,1,813.5420000000001,False,False,False,False,False,False,True,False,False,False,0.0002,0
15,0,1,251.4855,False,False,False,False,True,False,False,False,False,False,0.0003333333333333333,0
15,0,0,120.0,False,False,False,False,False,False,True,False,False,False,0.00125,1
2,0,1,4847.999999999999,False,False,False,False,False,False,True,False,False,False,4.166666666666667e-06,0
1000,1,1,1184.0236800000002,False,True,False,False,False,False,False,False,False,False,0.005,0
750,1,1,1392.0371199999995,False,False,False,False,False,False,True,False,False,False,0.0025,0
55,1,1,2515.9716000000003,False,False,False,False,False,True,False,False,False,False,0.0001,0
5,0,0,150.0,False,False,False,False,False,False,False,True,False,False,0.0005,1
5,0,0,87.50000000000001,False,False,False,False,False,True,False,False,False,False,0.001,1
500,1,1,445.64456,False,False,False,False,True,False,False,False,False,False,0.00625,0
100,1,0,1000.0,False,False,False,False,True,False,False,False,False,False,0.001,1
20,1,1,3379.9999999999995,False,False,False,False,True,False,False,False,False,False,0.0001,0
10,0,0,420.0,False,False,False,False,False,False,True,False,False,False,0.00035714285714285714,1
8,1,1,1233.0750000000005,False,False,False,False,False,False,True,False,False,False,3.2e-05,0
10,0,0,1000.0,False,False,False,False,True,False,False,False,False,False,0.0001,1
10,1,1,200.0,False,True,False,False,False,False,False,False,False,False,0.0005,0
80,1,1,3363.020575,False,False,False,False,True,False,False,False,False,False,0.00010958904109589041,0
20,1,1,168.99999999999997,False,False,False,False,True,False,False,False,False,False,0.002,0
50,0,0,375.0,False,True,False,False,False,False,False,False,False,False,0.002,1
28,1,1,3.38,False,False,False,False,False,True,False,False,False,False,0.14,0
50,1,1,1351.9999999999998,False,False,False,False,True,False,False,False,False,False,0.000625,0
20,0,0,750.0,False,False,False,False,False,False,True,False,False,False,0.0004,1
20,1,1,1373.6574,False,False,False,False,True,False,False,False,False,False,6.666666666666667e-05,0
2000,1,0,120.0,False,False,False,False,False,False,False,False,True,False,0.16666666666666666,1
400,0,1,592.0296000000001,False,False,False,False,True,False,False,False,False,False,0.004,0
20,0,1,390.87475,False,False,False,False,True,False,False,False,False,False,0.00028571428571428574,0
10,1,1,1360.068,False,False,False,False,True,False,False,False,False,False,3.3333333333333335e-05,0
40,1,1,2625.312,False,False,False,False,True,False,False,False,False,False,5e-05,0
3000,1,1,9429.15715,False,False,False,False,True,False,False,False,False,False,0.0014285714285714286,0
350,0,1,422.5,True,False,False,False,False,False,False,False,False,False,0.014,0
10000,1,1,568.62,False,False,False,True,False,False,False,False,False,False,0.2637965600928564,0
500,1,0,3280.1312,False,True,False,False,False,False,False,False,False,False,0.0005,1
15,1,1,1200.0,False,False,False,False,True,False,False,False,False,False,0.000125,0
250,0,0,84.49999999999999,False,True,False,False,False,False,False,False,False,False,0.05,1
80,0,0,2528.632,False,True,False,False,False,False,False,False,False,False,0.000125,1
310,1,1,278.5449193548387,False,False,False,False,True,False,False,False,False,False,0.0062,0
150,0,1,1392.1855999999998,False,False,False,False,False,False,False,True,False,False,0.0005,0
11,1,0,349.1336363636364,False,False,False,False,True,False,False,False,False,False,0.00022,1
3000,1,1,267.364456,False,False,False,True,False,False,False,False,False,False,0.0625,0
73,1,0,33.449161643835616,False,False,False,False,False,False,True,False,False,False,0.01825,1
15,0,1,651.2672,False,False,False,False,True,False,False,False,False,False,0.000125,0
30,0,0,120.0,False,False,False,False,True,False,False,False,False,False,0.00375,1
3000,1,0,3750.0,False,False,False,False,False,False,True,False,False,False,0.012,1
30,0,0,42.24999999999999,False,False,False,False,True,False,False,False,False,False,0.012,1
190,1,0,16.9,False,False,False,False,False,True,False,False,False,False,0.19,1
20,0,0,75.0,False,False,False,False,True,False,False,False,False,False,0.004,1
10,1,1,993.9840000000004,False,False,False,False,True,False,False,False,False,False,5e-05,0
150,0,0,482.0964,False,False,False,False,False,False,True,False,False,False,0.0015,1
12,1,1,779.1831000000001,False,False,False,False,True,False,False,False,False,False,7.058823529411764e-05,0
25,0,0,16.9,False,True,False,False,False,False,False,False,False,False,0.025,1
30,0,1,800.0,True,False,False,False,False,False,False,False,False,False,0.000375,0
30,1,1,5582.087999999999,False,False,False,False,False,False,True,False,False,False,2.5e-05,0
17,0,0,3500.0000000000005,False,False,False,False,True,False,False,False,False,False,8.5e-05,1
50,0,0,250.0,False,False,False,False,True,False,False,False,False,False,0.002,1
400,1,1,6339.475425,False,False,False,False,True,False,False,False,False,False,0.0002666666666666667,0
10,1,1,1665.1845,False,False,False,False,False,False,True,False,False,False,2.857142857142857e-05,0
8000,1,1,1183.507396875,False,False,False,False,True,False,False,False,False,False,0.032,0
9,1,1,700.4699999999999,False,False,False,False,True,False,False,False,False,False,6e-05,0
15,1,1,1145.286,False,False,False,False,True,False,False,False,False,False,6e-05,0
15,1,1,726.87888,False,False,False,False,False,False,True,False,False,False,9.615384615384615e-05,0
75,1,1,823.2891840000001,False,False,False,False,False,True,False,False,False,False,0.0004166666666666667,0
5,0,0,120.0,False,False,False,False,True,False,False,False,False,False,0.000625,1
30,0,1,84.49999999999999,False,False,False,False,True,False,False,False,False,False,0.006,0
30,1,0,270.0,False,False,False,False,False,True,False,False,False,False,0.0016666666666666668,1
200,1,1,914.53716,False,False,False,False,True,False,False,False,False,False,0.001,0
15,0,0,16.9,False,False,False,False,False,False,True,False,False,False,0.015,1
60,1,1,2225.741666666667,False,False,False,False,True,False,False,False,False,False,0.00012,0
7,1,1,688.739142857143,False,False,False,False,False,False,True,False,False,False,4.6666666666666665e-05,0
2000,1,1,2480.0248000000006,False,False,False,False,False,False,True,False,False,False,0.004,0
333,1,1,696.7045945945945,False,False,False,False,True,False,False,False,False,False,0.00222,0
5,0,0,150.0,False,False,False,False,True,False,False,False,False,False,0.0005,1
1500,1,1,290.28580559999995,False,False,False,True,False,False,False,False,False,False,0.025,0
15,0,1,1765.5509333333334,False,False,False,False,True,False,False,False,False,False,3.9473684210526316e-05,0
10,0,0,14.999999999999998,False,False,False,False,True,False,False,False,False,False,0.01,1
15,1,0,711.3472,False,False,False,False,False,False,True,False,False,False,0.000125,1
50,0,1,2845.1376,False,False,False,False,True,False,False,False,False,False,6.944444444444444e-05,0
200,1,0,591.5,False,False,False,False,False,True,False,False,False,False,0.005714285714285714,1
1500,1,0,337.99999999999994,False,False,False,False,True,False,False,False,False,False,0.075,1
500,1,1,1130.0678,True,False,False,False,False,False,False,False,False,False,0.002,0
12,0,0,1750.0000000000002,False,False,False,False,True,False,False,False,False,False,0.00012,1
100,0,0,222.9114,False,True,False,False,False,False,False,False,False,False,0.0025,1
750,1,1,3936.10496,False,False,False,False,False,False,False,True,False,False,0.000625,0
18,1,1,168.99999999999997,False,False,False,False,True,False,False,False,False,False,0.0018,0
15,0,0,83.71146666666668,False,False,False,False,True,False,False,False,False,False,0.0015,1
94,0,1,992.2110638297876,False,True,False,False,False,False,False,False,False,False,0.00047,0
15,0,0,507.0,False,False,False,False,False,False,False,True,False,False,0.0005,1
8,0,1,1784.45,False,False,False,False,False,False,True,False,False,False,2e-05,0
5,0,0,14.999999999999998,False,False,False,False,False,True,False,False,False,False,0.005,1
20,0,0,150.0,False,False,False,False,True,False,False,False,False,False,0.002,1
20,0,0,337.99999999999994,False,False,False,False,True,False,False,False,False,False,0.001,1
15,0,0,83.71146666666668,False,False,False,False,True,False,False,False,False,False,0.0015,1
3000,1,0,464.40774,False,False,False,False,False,False,True,False,False,False,0.03,1
2,0,0,87.50000000000001,False,False,False,False,True,False,False,False,False,False,0.0004,1
10,1,1,337.99999999999994,False,False,False,False,False,False,True,False,False,False,0.0005,0
30,0,0,2625.749333333333,False,False,False,False,False,False,True,False,False,False,3.75e-05,1
15,0,0,1689.9999999999998,False,False,False,False,True,False,False,False,False,False,0.00015,1
20,1,0,135.2,False,False,False,False,True,False,False,False,False,False,0.0025,1
10,1,0,8.45,False,False,False,False,False,True,False,False,False,False,0.02,1
40,0,1,135.2,True,False,False,False,False,False,False,False,False,False,0.005,0
4,0,1,385.317,False,False,False,False,True,False,False,False,False,False,6.666666666666667e-05,0
600,0,1,195.00000000000003,True,False,False,False,False,False,False,False,False,False,0.046153846153846156,0
20,1,1,9311.1458,False,False,False,False,True,False,False,False,False,False,9.090909090909091e-06,0
14,0,1,1025.3288571428573,False,False,False,False,True,False,False,False,False,False,6.363636363636364e-05,0
70,0,1,500.0,False,False,True,False,False,False,False,False,False,False,0.0014,0
15,1,1,1757.4186,False,False,False,False,True,False,False,False,False,False,4.054054054054054e-05,0
100,0,0,844.9999999999999,False,True,False,False,False,False,False,False,False,False,0.002,1
3,0,0,16.9,False,False,False,False,True,False,False,False,False,False,0.003,1
68,0,1,261.17679411764703,False,False,True,False,False,False,False,False,False,False,0.0019428571428571429,0
2168,1,1,4920.045387453875,False,False,False,False,False,False,True,False,False,False,0.0014453333333333334,0
8,0,1,2137.3300000000004,False,False,False,False,False,False,True,False,False,False,1.2307692307692308e-05,0
20,0,0,3000.0,False,False,False,False,True,False,False,False,False,False,0.0001,1
50,1,1,50.7,False,False,False,False,True,False,False,False,False,False,0.016666666666666666,0
20,1,1,2227.225,False,False,False,False,True,False,False,False,False,False,4e-05,0
1000,1,1,464.42322,False,True,False,False,False,False,False,False,False,False,0.01,0
15,0,0,16.9,False,False,False,False,True,False,False,False,False,False,0.015,1
15,1,1,3941.248,False,False,False,False,False,False,True,False,False,False,1.25e-05,0
20,0,0,224.53630000000004,False,False,False,False,True,False,False,False,False,False,0.0005263157894736842,1
10,1,0,41.8836,False,False,False,False,True,False,False,False,False,False,0.002,1
5,0,1,359.99999999999994,False,True,False,False,False,False,False,False,False,False,0.00020833333333333335,0
7,1,1,597.9034285714287,False,False,False,False,False,False,True,False,False,False,6.363636363636364e-05,0
20,0,1,1625.624,False,False,False,False,False,False,True,False,False,False,5.714285714285714e-05,0
20,0,1,100.0,False,False,False,False,True,False,False,False,False,False,0.002,0
1500,1,1,252518.417,False,False,False,True,False,False,False,False,False,False,2.6315789473684212e-05,0
700,1,0,387.0565874285714,False,False,False,False,True,False,False,False,False,False,0.00875,1
10,0,0,320.13900000000007,False,False,False,False,False,False,False,True,False,False,0.0002,1
30,1,1,1372.9716,False,False,False,False,True,False,False,False,False,False,0.0001,0
8,1,1,815.0325000000001,False,False,False,False,False,True,False,False,False,False,5.333333333333333e-05,0
80,1,0,418.01109374999993,False,False,False,False,True,False,False,False,False,False,0.0010666666666666667,1
40,0,0,3457.31625,False,False,False,False,False,False,True,False,False,False,5.333333333333333e-05,1
200,1,1,1371.8057400000002,False,False,False,False,True,False,False,False,False,False,0.0006666666666666666,0
20,1,1,2197.8518400000003,False,False,False,False,True,False,False,False,False,False,4.1666666666666665e-05,0
180,0,1,119.41326666666666,False,False,False,False,True,False,False,False,False,False,0.012,0
1000,0,0,2225.0445,False,False,False,False,False,False,True,False,False,False,0.002,1
15,0,1,465.948,False,False,False,False,True,False,False,False,False,False,0.00015,0
35,1,1,1781.0171428571427,False,False,False,False,True,False,False,False,False,False,8.75e-05,0
100,1,1,365.869728,False,True,False,False,False,False,False,False,False,False,0.00125,0
1000,1,1,3116.06232,False,False,False,False,False,False,True,False,False,False,0.0010526315789473684,0
100,1,0,2250.0,False,False,False,False,True,False,False,False,False,False,0.0006666666666666666,1
45,1,1,1372.5144,False,False,False,False,True,False,False,False,False,False,0.00015,0
150,0,0,750.0,False,True,False,False,False,False,False,False,False,False,0.003,1
18,0,1,337.99999999999994,False,False,False,False,False,False,False,True,False,False,0.0009,0
20,0,0,1393.3919999999998,False,False,False,False,True,False,False,False,False,False,6.666666666666667e-05,1
10,0,1,7.499999999999999,False,False,False,False,False,True,False,False,False,False,0.02,0
20,1,0,319.81950000000006,False,False,False,False,True,False,False,False,False,False,0.0004,1
45,0,1,1353.6013333333335,False,False,True,False,False,False,False,False,False,False,0.00016363636363636363,0
20,1,1,457.8858,False,False,False,False,False,False,True,False,False,False,0.0002,0
300,0,0,17.500000000000004,False,True,False,False,False,False,False,False,False,False,0.3,1
65,1,1,5459.599360000001,False,False,False,False,True,False,False,False,False,False,3.90625e-05,0
15,1,1,2964.1164,False,False,False,False,True,False,False,False,False,False,2.1428571428571428e-05,0
200,1,1,44.99999999999999,False,False,False,False,False,True,False,False,False,False,0.06666666666666667,0
10,1,1,533.77654,False,True,False,False,False,False,False,False,False,False,9.09090909090909e-05,0
40,0,0,2003.50125,False,False,False,False,False,False,True,False,False,False,8.888888888888889e-05,1
20,1,0,915.7716,False,False,False,False,True,False,False,False,False,False,0.0001,1
1200,1,1,928.8387,False,False,False,False,True,False,False,False,False,False,0.006,0
300,1,0,337.99999999999994,False,False,False,False,False,True,False,False,False,False,0.015,1
20,0,1,232.7805,False,False,False,False,True,False,False,False,False,False,0.0004,0
1250,1,0,532.8085248000001,False,True,False,False,False,False,False,False,False,False,0.013888888888888888,1
25,1,1,1144.3716,False,False,False,False,True,False,False,False,False,False,0.0001,0
5,1,1,1185.5232,False,False,False,False,True,False,False,False,False,False,2.0833333333333333e-05,0
500,1,1,464.44644,False,True,False,False,False,False,False,False,False,False,0.005,0
150,0,0,262.5,False,False,False,True,False,False,False,False,False,False,0.01,1
200,1,0,787.5,False,False,False,False,True,False,False,False,False,False,0.0044444444444444444,1
10,1,1,9024.899999999998,False,False,False,False,False,False,True,False,False,False,5e-06,0
10,0,0,307.88174999999995,False,False,False,False,False,False,True,False,False,False,0.0001818181818181818,1
120,1,1,813.1355000000001,False,False,False,False,False,False,True,False,False,False,0.0008,0
20,0,0,168.99999999999997,False,False,False,False,True,False,False,False,False,False,0.002,1
20,1,0,750.0,False,False,True,False,False,False,False,False,False,False,0.0004,1
10,0,0,1783.56,False,False,False,False,True,False,False,False,False,False,2.5e-05,1
20,1,1,12252.24,False,False,False,False,True,False,False,False,False,False,5e-06,0
60,1,0,290.42514,False,False,False,False,False,False,False,True,False,False,0.001,1
50,0,0,21.0,False,True,False,False,False,False,False,False,False,False,0.041666666666666664,1
2000,1,1,1371.620574,False,False,False,False,True,False,False,False,False,False,0.006666666666666667,0
15,0,0,83.71146666666668,False,False,True,False,False,False,False,False,False,False,0.0015,1
250,1,0,42265.0712,False,False,False,False,True,False,False,False,False,False,2.5e-05,1
3000,1,0,334.20557,False,False,False,False,False,False,True,False,False,False,0.05,1
10,0,0,593.1840000000001,False,False,False,False,True,False,False,False,False,False,0.0001,1
500,1,1,992.0396800000002,False,False,False,False,False,True,False,False,False,False,0.0025,0
30,1,0,446.3426666666667,False,False,True,False,False,False,False,False,False,False,0.000375,1
1500,1,0,1750.0233333333338,False,True,False,False,False,False,False,False,False,False,0.004285714285714286,1
7,1,0,33.8,False,False,False,False,True,False,False,False,False,False,0.0035,1
4,0,0,16.9,False,False,False,False,False,False,False,True,False,False,0.004,1
20,0,0,2004.5025,False,False,False,False,True,False,False,False,False,False,4.4444444444444447e-05,1
500,1,1,1500.0,False,False,False,False,False,False,True,False,False,False,0.0033333333333333335,0
20,1,0,274.73148000000003,False,False,False,False,False,False,True,False,False,False,0.0003333333333333333,1
55,0,1,202.8,False,False,False,False,True,False,False,False,False,False,0.004583333333333333,0
5,0,1,1031.8968,False,False,False,False,False,False,True,False,False,False,2.2727272727272726e-05,0
200,1,0,383.43834,False,True,False,False,False,False,False,False,False,False,0.0033333333333333335,1
150,1,1,179.99999999999997,False,False,False,False,False,False,True,False,False,False,0.0125,0
1500,1,0,5388.1796,False,False,False,False,False,False,False,False,False,True,0.00125,1
8,1,1,2268.475,False,False,False,False,False,False,True,False,False,False,1.6e-05,0
30,0,0,1200.0,False,False,False,False,True,False,False,False,False,False,0.000375,1
80,1,1,723.271125,False,True,False,False,False,False,False,False,False,False,0.0005333333333333334,0
12,1,1,1008.3546,False,False,False,False,True,False,False,False,False,False,5.4545454545454546e-05,0
15,0,0,418.5573333333334,False,False,False,False,True,False,False,False,False,False,0.0003,1
30,1,1,337.99999999999994,False,False,False,False,True,False,False,False,False,False,0.0015,0
100,1,1,319.56390000000005,False,True,False,False,False,False,False,False,False,False,0.002,0
90,0,1,511.1238,False,False,False,False,True,False,False,False,False,False,0.0008181818181818182,0
950,1,1,1935.261111578947,False,False,False,False,False,False,True,False,False,False,0.002375,0
30,0,0,175.00000000000003,False,False,False,True,False,False,False,False,False,False,0.003,1
30,0,1,930.348,False,False,True,False,False,False,False,False,False,False,0.00015,0
500,1,1,557.335728,False,True,False,False,False,False,False,False,False,False,0.004166666666666667,0
80,1,0,1097.6914800000002,False,False,False,False,True,False,False,False,False,False,0.0003333333333333333,1
96,1,0,52.500000000000014,False,False,False,True,False,False,False,False,False,False,0.032,1
45,0,1,418.1857777777778,False,False,False,False,True,False,False,False,False,False,0.0009,0
200,1,0,2100.0,False,False,False,False,False,False,False,True,False,False,0.0016666666666666668,1
25,0,0,1517.90976,False,False,False,False,True,False,False,False,False,False,7.8125e-05,1
52,0,1,439.5287845384616,False,False,False,False,True,False,False,False,False,False,0.0009894396346684425,0
20,1,0,418.41800000000006,False,False,False,False,True,False,False,False,False,False,0.0004,1
250,1,1,457.25486400000005,False,False,False,False,False,True,False,False,False,False,0.0025,0
500,1,0,253.5,False,False,False,False,False,True,False,False,False,False,0.03333333333333333,1
40,0,0,83.6418,False,False,False,False,False,True,False,False,False,False,0.004,1
100,1,0,8.45,False,False,False,False,True,False,False,False,False,False,0.2,1
70,0,1,390.1785,False,False,False,False,True,False,False,False,False,False,0.001,0
50,0,1,464.8644,False,False,False,False,True,False,False,False,False,False,0.0005,0
8,0,1,994.4800000000002,False,False,False,False,True,False,False,False,False,False,4e-05,0
30,1,1,6736.488000000001,False,False,False,False,False,False,True,False,False,False,1.3636363636363637e-05,0
350,1,0,295.0252857142857,False,True,False,False,False,False,False,False,False,False,0.007,1
279,0,1,772.9558257290322,False,False,False,True,False,False,False,False,False,False,0.0016765617864096338,0
400,1,0,334.241775,False,True,False,False,False,False,False,False,False,False,0.006666666666666667,1
1780,0,0,3214.4361168539326,False,True,False,False,False,False,False,False,False,False,0.001816326530612245,1
